year,pig,place,long,lat
2005,1,郑州,113.65,34.76
2005,0,郑州,113.55,34.76
2006,1,珠海,113.52,22.3
2006,0,深圳,114.07,22.62
2007,1,珠海,113.52,22.3
2007,0,深圳,114.07,22.62
2008,1,兰州,103.73,36.03
2008,0,深圳,114.07,22.62
2009,1,兰州,103.73,36.03
2009,0,深圳,114.07,22.62
2010,1,洛阳,112.44,34.7
2010,0,深圳,114.07,22.62
2011,1,珠海,113.52,22.3
2011,0,深圳,114.07,22.62
2012,1,珠海,113.52,22.3
2012,0,深圳,114.07,22.62
2013,1,珠海,113.52,22.3
2013,0,深圳,114.07,22.62
2014,1,珠海,113.52,22.3
2014,0,深圳,114.07,22.62
2015,1,深圳,114.07,22.62
2015,0,深圳,114.07,22.62
2016,1,深圳,114.07,22.62
2016,0,菲律宾,120,15
2017,1,深圳,114.07,22.62
2017,0,深圳,114.07,22.62
2018,1,深圳,114.07,22.62
2018,0,惠州,114.4,23.09
2019,1,深圳,114.07,22.62
2019,0,惠州,114.4,23.09
2020,1,深圳,114.07,22.62
2020,0,惠州,114.4,23.09
2021,1,深圳,114.07,22.62
2021,0,惠州,114.4,23.09
2022,1,深圳,114.07,22.62
2022,0,深圳,114.07,22.62
